code,name,cfo
000002.SZ,万科A,孙嘉
000006.SZ,深振业A,于冰
000009.SZ,中国宝安,贺德华
000019.SZ,深粮控股,王志萍
000021.SZ,深科技,莫尚云
000028.SZ,国药一致,魏平孝
000030.SZ,富奥股份,赵玉林
000032.SZ,深桑达A,赵泉勇
000035.SZ,中国天楹,张建民
000046.SZ,泛海控股,刘国升
000055.SZ,方大集团,林克槟
000065.SZ,北方国际,严家建
000096.SZ,广聚能源,陈丽红
000100.SZ,TCL科技,黄旭斌
000156.SZ,华数传媒,何刚
000333.SZ,美的集团,肖明光
000338.SZ,潍柴动力,邝焜堂
000401.SZ,冀东水泥,任前进
000411.SZ,英特集团,谌明
000425.SZ,徐工机械,吴江龙
000505.SZ,京粮控股,关颖
000513.SZ,丽珠集团,司燕霞
000526.SZ,紫光学大,王烨
000528.SZ,柳工,刘传捷
000531.SZ,穗恒运A,陈宏志
000538.SZ,云南白药,吴伟
000541.SZ,佛山照明,汤琼兰
000546.SZ,金圆股份,黄旭升
000559.SZ,万向钱潮,钟斌国
000564.SZ,供销大集,韩玮
000565.SZ,渝三峡A,向青
000568.SZ,泸州老窖,谢红
000573.SZ,粤宏远A,王连莹
000581.SZ,威孚高科,欧建斌
000589.SZ,贵州轮胎,熊朝阳
000597.SZ,东北制药,张正伟
000600.SZ,建投能源,曹芸
000601.SZ,韶能股份,袁勇会
000607.SZ,华媒控股,郭勤勇
000620.SZ,新华联,刘华明
000623.SZ,吉林敖东,张淑媛
000632.SZ,三木集团,林廷香
000639.SZ,西王食品,赵晓芬
000650.SZ,仁和药业,彭秋林
000651.SZ,格力电器,望靖东
000652.SZ,泰达股份,赵春燕
000656.SZ,金科股份,李华
000657.SZ,中钨高新,宋国华
000661.SZ,长春高新,朱兴功
000665.SZ,湖北广电,胡晓斌
000666.SZ,经纬纺机,毛发青
000668.SZ,荣丰控股,吴庆
000672.SZ,上峰水泥,张亦峰
000676.SZ,智度股份,刘韡
000677.SZ,恒天海龙,庄旭升
000685.SZ,中山公用,徐化群
000688.SZ,国城矿业,吴斌鸿
000690.SZ,宝新能源,丁珍珍
000703.SZ,恒逸石化,朱菊珍
000721.SZ,西安饮食,李慧琴
000723.SZ,美锦能源,郑彩霞
000736.SZ,中交地产,刘兵
000756.SZ,新华制药,侯宁
000766.SZ,通化金马,于军
000779.SZ,甘咨询,李建真
000786.SZ,北新建材,杨艳军
000788.SZ,北大医药,赵全波
000795.SZ,英洛华,方建武
000811.SZ,冰轮环境,吴利利
000813.SZ,德展健康,张婧红
000823.SZ,超声电子,林琪
000828.SZ,东莞控股,王庆明
000830.SZ,鲁西化工,邓绍云
000848.SZ,承德露露,鲁永明
000861.SZ,海印股份,温敏婷
000869.SZ,张裕A,姜建勋
000887.SZ,中鼎股份,易善兵
000895.SZ,双汇发展,刘松涛
000903.SZ,云内动力,屠建国
000908.SZ,景峰医药,丛树芬
000909.SZ,数源科技,李兴哲
000919.SZ,金陵药业,汪洋
000921.SZ,海信家电,高玉玲
000926.SZ,福星股份,冯俊秀
000931.SZ,中关村,宋学武
000932.SZ,华菱钢铁,肖骥
000937.SZ,冀中能源,郑温雅
000938.SZ,紫光股份,秦蓬
000948.SZ,南天信息,刘涓
000963.SZ,华东医药,马红兰
000988.SZ,华工科技,刘含树
000989.SZ,九芝堂,孙卫香
000990.SZ,诚志股份,邹勇华
001914.SZ,招商积余,张秀成
001979.SZ,招商蛇口,黄均隆
002001.SZ,新和成,石观群
002002.SZ,鸿达兴业,刘光辉
002003.SZ,伟星股份,沈利勇
002004.SZ,华邦健康,王剑
002008.SZ,大族激光,周辉强
002017.SZ,东信和平,任勃
002019.SZ,亿帆医药,喻海霞
002020.SZ,京新药业,陈美丽
002023.SZ,海特高新,邓珍容
002025.SZ,航天电器,朱育云
002027.SZ,分众传媒,刘杰良
002029.SZ,七匹狼,李玲波
002030.SZ,达安基因,张为结
002031.SZ,巨轮智能,林瑞波
002032.SZ,苏泊尔,徐波
002036.SZ,联创电子,罗顺根
002043.SZ,兔宝宝,姚红霞
002049.SZ,紫光国微,杨秋平
002050.SZ,三花智控,俞蓥奎
002054.SZ,德美化工,周红艳
002057.SZ,中钢天源,芮沅林
002062.SZ,宏润建设,黄全跃
002064.SZ,华峰氨纶,潘基础
002065.SZ,东华软件,叶莉
002066.SZ,瑞泰科技,陈荣建
002075.SZ,沙钢股份,张兆斌
002078.SZ,太阳纸业,王宗良
002081.SZ,金螳螂,蔡国华
002087.SZ,新野纺织,许勤芝
002088.SZ,鲁阳节能,张淳
002091.SZ,江苏国泰,黄宁
002092.SZ,中泰化学,胡晓东
002097.SZ,山河智能,夏志宏
002099.SZ,海翔药业,李进
002101.SZ,广东鸿图,刘刚年
002104.SZ,恒宝股份,赵长健
002107.SZ,沃华医药,王炯
002108.SZ,沧州明珠,胡庆亮
002119.SZ,康强电子,殷夏容
002126.SZ,银轮股份,朱晓红
002127.SZ,南极电商,凌云
002129.SZ,中环股份,张长旭
002138.SZ,顺络电子,徐佳
002139.SZ,拓邦股份,文朝晖
002144.SZ,宏达高科,朱海东
002146.SZ,荣盛发展,景中华
002148.SZ,北纬科技,张文涛
002151.SZ,北斗星通,刘光伟
002152.SZ,广电运通,蒋春晨
002153.SZ,石基信息,赖德源
002157.SZ,正邦科技,周锦明
002158.SZ,汉钟精机,邱玉英
002162.SZ,悦心健康,徐泰龙
002173.SZ,创新医疗,吴晓明
002179.SZ,中航光电,刘阳
002185.SZ,华天科技,宋勇
002189.SZ,中光学,张子民
002191.SZ,劲嘉股份,富培军
002203.SZ,海亮股份,陈东
002206.SZ,海利得,吕佩芬
002209.SZ,达意隆,曾德祝
002212.SZ,南洋股份,李科辉
002215.SZ,诺普信,袁庆鸿
002216.SZ,三全食品,李娜
002221.SZ,东华能源,方涛
002223.SZ,鱼跃医疗,刘丽华
002224.SZ,三力士,郭利军
002226.SZ,江南化工,王敦福
002229.SZ,鸿博股份,周美妹
002230.SZ,科大讯飞,张少兵
002232.SZ,启明信息,高英
002233.SZ,塔牌集团,赖宏飞
002236.SZ,大华股份,魏美钟
002237.SZ,恒邦股份,张克河
002241.SZ,歌尔股份,段会禄
002242.SZ,九阳股份,裘剑调
002250.SZ,联化科技,许明辉
002251.SZ,步步高,杨芳
002254.SZ,泰和新材,顾裕梅
002258.SZ,利尔化学,古美华
002266.SZ,浙富控股,李娟
